stock,strategy,total_pnl,num_trades,win_rate
00700.csv,orderflow_imbalance,10.999999999999943,56,0.5
00700.csv,microprice_momentum,25.0,16,0.625
00700.csv,microprice_momentum_reversed,1.0,100,0.4
00700.csv,volatility_breakout_reversed,1.0000000000000568,44,0.4318181818181818
00700.csv,volatility_regime_momentum_reversed,19.300000000000463,155,0.3741935483870968
00883.csv,microprice_momentum,0.2800000000000011,6,0.5
00883.csv,volatility_breakout_reversed,0.0199999999999995,3,0.6666666666666666
09985.csv,weighted_microprice_reversal,7.9600000000000115,315,0.4380952380952381
09985.csv,price_momentum_reversal,0.9999999999999982,111,0.4504504504504504
09985.csv,volatility_regime_momentum,0.3800000000000043,27,0.4444444444444444
09985.csv,weighted_microprice_reversal_reversed,7.9600000000000115,315,0.4380952380952381
09985.csv,price_momentum_reversal_reversed,0.9999999999999982,111,0.4504504504504504
00939.csv,microprice_momentum,0.0199999999999995,1,1.0
02382.csv,trade_flow_imbalance,3.550000000000012,40,0.6
09999.csv,volatility_regime_switch,0.8000000000000398,154,0.3571428571428571
09999.csv,trade_flow_imbalance,0.1999999999999886,7,0.4285714285714285
09999.csv,volatility_regime_momentum,0.9999999999999432,91,0.3626373626373626
01810.csv,volatility_breakout,0.0499999999999829,13,0.5384615384615384
01810.csv,trade_flow_imbalance,1.5500000000000114,64,0.546875
01810.csv,microprice_depth_convergence,0.5999999999999872,21,0.5714285714285714
09995.csv,volatility_breakout,0.3499999999999978,21,0.4761904761904761
01801.csv,volatility_breakout_reversed,0.1999999999999886,28,0.5
06990.csv,volatility_regime_switch,28.19999999999996,143,0.3636363636363636
06990.csv,signal_big_moves,119.79999999999964,139,0.3884892086330935
01729.csv,volatility_breakout,0.0100000000000002,2,0.5
01729.csv,trade_flow_imbalance,0.0100000000000002,5,0.4
01729.csv,momentum_depth_convergence,0.0199999999999995,16,0.5
01729.csv,volatility_convergence_reversed,0.399999999999999,23,0.4782608695652174
03896.csv,trade_flow_imbalance,0.0100000000000015,45,0.4666666666666667
01772.csv,orderflow_imbalance,1.7699999999999925,39,0.4871794871794871
01772.csv,microprice_momentum,0.2800000000000011,12,0.5833333333333334
01772.csv,volatility_breakout,0.4799999999999969,4,0.75
01772.csv,volatility_convergence,0.759999999999998,14,0.5
01772.csv,microprice_depth_convergence,0.620000000000001,8,0.375
01772.csv,volatility_regime_switch_reversed,0.1200000000000045,72,0.3888888888888889
01772.csv,volatility_regime_momentum_reversed,1.3900000000000077,69,0.3478260869565217
00941.csv,trade_flow_imbalance,2.8421709430404014e-14,20,0.3
00941.csv,volatility_convergence,0.7500000000000284,48,0.25
02145.csv,microprice_depth_convergence,0.7000000000000028,12,0.5833333333333334
02600.csv,orderflow_imbalance,0.0299999999999998,10,0.4
02600.csv,volatility_breakout,0.08,1,1.0
09898.csv,weighted_microprice_reversal,2.3499999999999943,78,0.4871794871794871
09898.csv,volatility_breakout_reversed,1.1499999999999986,4,0.5
09898.csv,weighted_microprice_reversal_reversed,2.3499999999999943,78,0.4871794871794871
09898.csv,orderflow_momentum_reversed,2.4000000000000057,40,0.525
01929.csv,depth_spread_arb,0.3199999999999976,71,0.4366197183098591
01929.csv,volatility_breakout,0.0899999999999998,1,1.0
01929.csv,volatility_regime_switch,0.4800000000000031,111,0.4504504504504504
01929.csv,trade_flow_imbalance,0.1499999999999968,10,0.5
01093.csv,volatility_breakout,0.1099999999999994,3,0.6666666666666666
03690.csv,weighted_microprice_reversal,9.900000000000546,571,0.4115586690017513
03690.csv,signal_big_moves,7.19999999999996,122,0.4098360655737705
03690.csv,volatility_breakout_reversed,0.5999999999999659,13,0.5384615384615384
03690.csv,weighted_microprice_reversal_reversed,9.900000000000546,571,0.4115586690017513
03690.csv,microprice_depth_convergence_reversed,5.400000000000205,211,0.4407582938388625
02020.csv,orderbook_slope,0.4000000000000057,1,1.0
00340.csv,depth_spread_arb,0.0599999999999999,14,0.5
00340.csv,volatility_regime_momentum,0.0499999999999999,6,0.6666666666666666
00340.csv,signal_big_moves,0.3099999999999997,26,0.1538461538461538
00340.csv,microprice_momentum_reversed,0.0499999999999999,6,0.5
01339.csv,orderflow_imbalance,0.0500000000000016,15,0.4666666666666667
01530.csv,volatility_breakout_reversed,0.1400000000000041,16,0.5
02318.csv,volatility_breakout_reversed,0.1499999999999985,2,0.5
